,library,run,r1_file,reads_raw_r1,reads_primers,reads_filtered,reads_merged,reads_tabled,SampleID,Order,Family,Genus,Species,Sample_type,Location.or.lat,DOI,Location,Source,Richness,Shannon,ISimpson,Depth
SRR3609140,SRR3609140,SRP073625,SRR3609140_1.fastq.gz,178357,178357,152877,4998,4998,SRR3609140,,,,,Feces,"40.798077 N 96.674433 W,",10.1128/AEM.00896-18,USA,CoMiDa,7,1.442322481,1.167211365,4998
SRR3609149,SRR3609149,SRP073625,SRR3609149_1.fastq.gz,132585,132585,114506,4990,4990,SRR3609149,Anseriformes,Anatidae,,,Feces,"40.798077 N 96.674433 W,",10.1128/AEM.00896-18,USA,CoMiDa,14,4.76825368,3.421710211,4990
SRR3609156,SRR3609156,SRP073625,SRR3609156_1.fastq.gz,148112,148112,126447,4889,4889,SRR3609156,Anseriformes,Anatidae,,,Feces,"40.793414 N 96.669452 W,",10.1128/AEM.00896-18,USA,CoMiDa,12,2.999923449,2.318176903,4889
SRR3609162,SRR3609162,SRP073625,SRR3609162_1.fastq.gz,192713,192713,169999,4943,4943,SRR3609162,Passeriformes,Hirundinidae,,,Feces,"40.790697 N 96.665592 W,",10.1128/AEM.00896-18,USA,CoMiDa,37,18.60029717,12.5886506,4943
SRR3609163,SRR3609163,SRP073625,SRR3609163_1.fastq.gz,189604,189604,160589,4869,4869,SRR3609163,Passeriformes,Hirundinidae,,,Feces,"40.790697 N 96.665592 W,",10.1128/AEM.00896-18,USA,CoMiDa,66,25.01140106,14.08858688,4869
SRR3609170,SRR3609170,SRP073625,SRR3609170_1.fastq.gz,180780,180780,151898,4980,4980,SRR3609170,Anseriformes,Anatidae,,,Feces,"40.790697 N 96.665592 W,",10.1128/AEM.00896-18,USA,CoMiDa,32,11.23622547,6.304220506,4980
SRR3609175,SRR3609175,SRP073625,SRR3609175_1.fastq.gz,176915,176915,140947,4904,4904,SRR3609175,Anseriformes,Anatidae,,,Feces,"40.809232 N 96.686964 W,",10.1128/AEM.00896-18,USA,CoMiDa,72,34.3407299,20.16952684,4904
SRR3609178,SRR3609178,SRP073625,SRR3609178_1.fastq.gz,166018,166018,138000,4925,4925,SRR3609178,Anseriformes,Anatidae,,,Feces,"40.80712 N 96.686536 W,",10.1128/AEM.00896-18,USA,CoMiDa,52,14.54463071,7.522759211,4925
SRR3609190,SRR3609190,SRP073625,SRR3609190_1.fastq.gz,160648,160648,135055,5003,5003,SRR3609190,Anseriformes,Anatidae,,,Feces,"40.80712 N 96.686536 W,",10.1128/AEM.00896-18,USA,CoMiDa,20,5.29974844,2.715610676,5003
SRR3609191,SRR3609191,SRP073625,SRR3609191_1.fastq.gz,145522,145522,122899,4982,4982,SRR3609191,Columbiformes,Columbidae,,,Feces,"40.805642 N 96.685667 W,",10.1128/AEM.00896-18,USA,CoMiDa,19,5.946528182,3.737888015,4982
SRR3609198,SRR3609198,SRP073625,SRR3609198_1.fastq.gz,168458,168458,146691,4963,4963,SRR3609198,Passeriformes,Hirundinidae,,,Feces,"40.801282 N 96.679145 W,",10.1128/AEM.00896-18,USA,CoMiDa,36,10.37928383,5.023608219,4963
SRR3655581,SRR3655581,SRP073625,SRR3655581_1.fastq.gz,168866,168866,127955,4930,4930,SRR3655581,Anseriformes,Anatidae,,,Feces,"40.780482 N 96.63328 W,",10.1128/AEM.00896-18,USA,CoMiDa,45,12.17570104,5.607163357,4930
SRR3655583,SRR3655583,SRP073625,SRR3655583_1.fastq.gz,261650,261650,204230,4910,4910,SRR3655583,Anseriformes,Anatidae,,,Feces,"40.778971 N 96.753509 W,",10.1128/AEM.00896-18,USA,CoMiDa,85,41.17693688,22.37863438,4910
SRR3655605,SRR3655605,SRP073625,SRR3655605_1.fastq.gz,224962,224962,180164,4931,4931,SRR3655605,Anseriformes,Anatidae,,,Feces,"40.778971 N 96.753509 W,",10.1128/AEM.00896-18,USA,CoMiDa,77,32.23372673,14.5530706,4931
SRR3655606,SRR3655606,SRP073625,SRR3655606_1.fastq.gz,227294,227294,183860,4948,4948,SRR3655606,Anseriformes,Anatidae,,,Feces,"40.778971 N 96.753509 W,",10.1128/AEM.00896-18,USA,CoMiDa,67,24.8087011,12.42722602,4948
SRR3655607,SRR3655607,SRP073625,SRR3655607_1.fastq.gz,162222,162222,132174,4992,4992,SRR3655607,Anseriformes,Anatidae,,,Feces,"40.868076 N 96.697769 W,",10.1128/AEM.00896-18,USA,CoMiDa,26,14.4308452,10.53292757,4992
SRR3655608,SRR3655608,SRP073625,SRR3655608_1.fastq.gz,154523,154523,128714,4928,4928,SRR3655608,Anseriformes,Anatidae,,,Feces,"40.868076 N 96.697769 W,",10.1128/AEM.00896-18,USA,CoMiDa,20,8.27006545,5.80096522,4928
SRR3655609,SRR3655609,SRP073625,SRR3655609_1.fastq.gz,123759,123759,102506,4958,4958,SRR3655609,Anseriformes,Anatidae,,,Feces,"40.806119 N 96.686064 W,",10.1128/AEM.00896-18,USA,CoMiDa,29,8.603931527,4.466536811,4958
SRR3655610,SRR3655610,SRP073625,SRR3655610_1.fastq.gz,174313,174313,140640,4930,4930,SRR3655610,Anseriformes,Anatidae,,,Feces,"40.806119 N 96.686064 W,",10.1128/AEM.00896-18,USA,CoMiDa,48,11.82473219,4.890022824,4930
SRR3655611,SRR3655611,SRP073625,SRR3655611_1.fastq.gz,186973,186973,146882,4926,4926,SRR3655611,Columbiformes,Columbidae,,,Feces,"40.802089 N 96.681604 W,",10.1128/AEM.00896-18,USA,CoMiDa,67,16.10694976,7.229243407,4926
SRR3655612,SRR3655612,SRP073625,SRR3655612_1.fastq.gz,138993,138993,112700,4990,4990,SRR3655612,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,15,2.805241735,2.255204429,4990
SRR3655613,SRR3655613,SRP073625,SRR3655613_1.fastq.gz,146595,146595,121560,4984,4984,SRR3655613,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,9,2.323151769,1.82421049,4984
SRR3655614,SRR3655614,SRP073625,SRR3655614_1.fastq.gz,198245,198245,161762,4967,4967,SRR3655614,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,25,2.154133645,1.361450844,4967
SRR3655616,SRR3655616,SRP073625,SRR3655616_1.fastq.gz,207456,207456,161609,4971,4971,SRR3655616,Columbiformes,Columbidae,,,Feces,"40.802089 N 96.681604 W,",10.1128/AEM.00896-18,USA,CoMiDa,46,12.71535559,6.890803308,4971
SRR3655618,SRR3655618,SRP073625,SRR3655618_1.fastq.gz,183285,183285,151192,4981,4981,SRR3655618,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,14,5.127024943,3.806515383,4981
SRR3655619,SRR3655619,SRP073625,SRR3655619_1.fastq.gz,173051,173051,135177,4980,4980,SRR3655619,Anseriformes,Anatidae,,,Feces,"40.783025 N 96.636345 W,",10.1128/AEM.00896-18,USA,CoMiDa,14,5.609959103,4.023449845,4980
SRR3655620,SRR3655620,SRP073625,SRR3655620_1.fastq.gz,206554,206554,175475,4905,4905,SRR3655620,,,,,Feces,"40.783025 N 96.636345 W,",10.1128/AEM.00896-18,USA,CoMiDa,75,33.59448006,18.85354294,4905
SRR3655621,SRR3655621,SRP073625,SRR3655621_1.fastq.gz,206498,206498,164606,4970,4970,SRR3655621,Anseriformes,Anatidae,,,Feces,"40.783025 N 96.636345 W,",10.1128/AEM.00896-18,USA,CoMiDa,64,30.51930829,17.48597633,4970
SRR3655629,SRR3655629,SRP073625,SRR3655629_1.fastq.gz,250128,250128,205857,4985,4985,SRR3655629,Columbiformes,Columbidae,,,Feces,"40.802089 N 96.681604 W,",10.1128/AEM.00896-18,USA,CoMiDa,47,25.74980703,16.51991113,4985
SRR3655630,SRR3655630,SRP073625,SRR3655630_1.fastq.gz,127004,127004,104303,4978,4978,SRR3655630,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,48,9.548359922,6.598022655,4978
SRR3666728,SRR3666728,SRP073625,SRR3666728_1.fastq.gz,135712,135712,118290,4968,4968,SRR3666728,,,,,Feces,"40.779223 N 96.75353 W,",10.1128/AEM.00896-18,USA,CoMiDa,21,7.302359916,4.180774048,4968
SRR3666744,SRR3666744,SRP073625,SRR3666744_1.fastq.gz,124602,124602,84011,4910,4910,SRR3666744,Passeriformes,Hirundinidae,,,Feces,"40.789503 N 96.663323 W,",10.1128/AEM.00896-18,USA,CoMiDa,45,17.21080391,6.480699917,4910
SRR6486665,SRR6486665,SRP130314,SRR6486665_1.fastq.gz,63630,63630,56949,4966,4966,SRR6486665,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,33,12.36403594,6.613988601,4966
SRR6486666,SRR6486666,SRP130314,SRR6486666_1.fastq.gz,46684,46684,42290,4993,4993,SRR6486666,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,15,3.0001436,2.234178654,4993
SRR6486667,SRR6486667,SRP130314,SRR6486667_1.fastq.gz,25971,25971,22867,4968,4968,SRR6486667,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,22,1.554329635,1.170339331,4968
SRR6486668,SRR6486668,SRP130314,SRR6486668_1.fastq.gz,27476,27476,25022,4943,4943,SRR6486668,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,31,8.503659331,4.897660721,4943
SRR6486669,SRR6486669,SRP130314,SRR6486669_1.fastq.gz,25012,25012,18478,4945,4945,SRR6486669,Passeriformes,Thraupidae,Geospiza,Scandens,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,19,6.170113976,4.278734799,4945
SRR6486670,SRR6486670,SRP130314,SRR6486670_1.fastq.gz,50563,50563,42513,4971,4971,SRR6486670,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,40,26.95485341,20.96560773,4971
SRR6486671,SRR6486671,SRP130314,SRR6486671_1.fastq.gz,22672,22672,19894,4990,4990,SRR6486671,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,9,1.419362861,1.156923658,4990
SRR6486672,SRR6486672,SRP130314,SRR6486672_1.fastq.gz,29059,29059,26162,4972,4972,SRR6486672,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,41,14.49843225,8.00209239,4972
SRR6486673,SRR6486673,SRP130314,SRR6486673_1.fastq.gz,30353,30353,27355,4982,4982,SRR6486673,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,17,2.080446254,1.400589414,4982
SRR6486674,SRR6486674,SRP130314,SRR6486674_1.fastq.gz,37843,37843,33981,4972,4972,SRR6486674,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,26,5.723786296,3.251392254,4972
SRR6486675,SRR6486675,SRP130314,SRR6486675_1.fastq.gz,35991,35991,32813,4977,4977,SRR6486675,Passeriformes,Thraupidae,Geospiza,Scandens,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,34,10.65091369,6.344911717,4977
SRR6486676,SRR6486676,SRP130314,SRR6486676_1.fastq.gz,19429,19429,16234,4934,4934,SRR6486676,Passeriformes,Thraupidae,Geospiza,Scandens,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,15,2.002389026,1.371915236,4934
SRR6486677,SRR6486677,SRP130314,SRR6486677_1.fastq.gz,51414,51414,46824,4984,4984,SRR6486677,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,29,8.308023773,4.806379959,4984
SRR6486678,SRR6486678,SRP130314,SRR6486678_1.fastq.gz,63912,63912,51226,4958,4958,SRR6486678,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,18,4.116514168,2.776501146,4958
SRR6486679,SRR6486679,SRP130314,SRR6486679_1.fastq.gz,40708,40708,35916,4981,4981,SRR6486679,Passeriformes,Thraupidae,Camarhynchus,Parvulus,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,18,4.312800859,2.455126414,4981
SRR6486680,SRR6486680,SRP130314,SRR6486680_1.fastq.gz,35740,35740,26241,4861,4861,SRR6486680,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,33,3.368768201,1.634350554,4861
SRR6486681,SRR6486681,SRP130314,SRR6486681_1.fastq.gz,42369,42369,38066,4951,4951,SRR6486681,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,28,9.700859992,6.298588879,4951
SRR6486682,SRR6486682,SRP130314,SRR6486682_1.fastq.gz,22493,22493,20327,4968,4968,SRR6486682,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,34,8.85126783,4.175330908,4968
SRR6486683,SRR6486683,SRP130314,SRR6486683_1.fastq.gz,53875,53875,48204,4985,4985,SRR6486683,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,16,4.036092839,2.75806271,4985
SRR6486684,SRR6486684,SRP130314,SRR6486684_1.fastq.gz,61985,61985,56076,4972,4972,SRR6486684,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,31,7.192060428,4.422626527,4972
SRR6486685,SRR6486685,SRP130314,SRR6486685_1.fastq.gz,47682,47682,42523,4917,4917,SRR6486685,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,67,26.81965644,13.20914105,4917
SRR6486686,SRR6486686,SRP130314,SRR6486686_1.fastq.gz,37339,37339,33578,4964,4964,SRR6486686,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,17,3.820721707,2.366727407,4964
SRR6486687,SRR6486687,SRP130314,SRR6486687_1.fastq.gz,37488,37488,34047,4911,4911,SRR6486687,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,32,9.460531879,5.124715561,4911
SRR6486688,SRR6486688,SRP130314,SRR6486688_1.fastq.gz,28280,28280,25392,4947,4947,SRR6486688,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,19,7.418391369,5.277837288,4947
SRR6486689,SRR6486689,SRP130314,SRR6486689_1.fastq.gz,33426,33426,25637,4890,4890,SRR6486689,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,39,14.16462224,7.171399695,4890
SRR6486690,SRR6486690,SRP130314,SRR6486690_1.fastq.gz,28236,28236,24992,4993,4993,SRR6486690,Passeriformes,Thraupidae,Geospiza,Conirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,41,14.9102481,8.019525076,4993
SRR6486691,SRR6486691,SRP130314,SRR6486691_1.fastq.gz,27807,27807,24891,4971,4971,SRR6486691,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,13,2.465441466,1.67056131,4971
SRR6486692,SRR6486692,SRP130314,SRR6486692_1.fastq.gz,37682,37682,33680,4977,4977,SRR6486692,Passeriformes,Thraupidae,Certhidea,Olivacea,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,22,5.3215428,3.696911242,4977
SRR6486693,SRR6486693,SRP130314,SRR6486693_1.fastq.gz,15949,15949,14121,4947,4947,SRR6486693,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,38,9.14346047,5.055117383,4947
SRR6486694,SRR6486694,SRP130314,SRR6486694_1.fastq.gz,18770,18770,16732,4980,4980,SRR6486694,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,18,2.514003659,1.764683782,4980
SRR6486695,SRR6486695,SRP130314,SRR6486695_1.fastq.gz,29859,29859,22897,4870,4870,SRR6486695,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,77,29.47434235,13.87608882,4870
SRR6486696,SRR6486696,SRP130314,SRR6486696_1.fastq.gz,22009,22009,19730,4983,4983,SRR6486696,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,20,3.682579347,2.184392517,4983
SRR6486697,SRR6486697,SRP130314,SRR6486697_1.fastq.gz,21139,21139,18807,4975,4975,SRR6486697,Passeriformes,Thraupidae,Geospiza,Conirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,15,2.054127378,1.441661005,4975
SRR6486698,SRR6486698,SRP130314,SRR6486698_1.fastq.gz,16888,16888,14770,4915,4915,SRR6486698,Passeriformes,Thraupidae,Geospiza,Conirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,46,11.46323244,6.010128578,4915
SRR6486699,SRR6486699,SRP130314,SRR6486699_1.fastq.gz,37810,37810,32786,4961,4961,SRR6486699,Passeriformes,Thraupidae,Geospiza,Conirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,32,12.93585154,8.969477962,4961
SRR6486700,SRR6486700,SRP130314,SRR6486700_1.fastq.gz,40359,40359,36093,4975,4975,SRR6486700,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,34,12.42930738,6.244722082,4975
SRR6486701,SRR6486701,SRP130314,SRR6486701_1.fastq.gz,35402,35402,31964,4968,4968,SRR6486701,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,41,14.02683434,7.303620942,4968
SRR6486702,SRR6486702,SRP130314,SRR6486702_1.fastq.gz,30821,30821,27556,4882,4882,SRR6486702,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,33,12.235754,6.175052439,4882
SRR6486703,SRR6486703,SRP130314,SRR6486703_1.fastq.gz,33127,33127,30228,4969,4969,SRR6486703,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,25,8.487944473,4.313090024,4969
SRR6486704,SRR6486704,SRP130314,SRR6486704_1.fastq.gz,27634,27634,24886,4967,4967,SRR6486704,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,22,5.46429548,3.499796221,4967
SRR6486705,SRR6486705,SRP130314,SRR6486705_1.fastq.gz,49972,49972,45656,4973,4973,SRR6486705,Passeriformes,Thraupidae,Camarhynchus,Parvulus,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,35,14.82798088,9.017937619,4973
SRR6486706,SRR6486706,SRP130314,SRR6486706_1.fastq.gz,27131,27131,24359,4976,4976,SRR6486706,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,20,2.660873084,1.681033374,4976
SRR6486707,SRR6486707,SRP130314,SRR6486707_1.fastq.gz,35176,35176,31430,4946,4946,SRR6486707,Passeriformes,Thraupidae,Geospiza,Fortis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,34,8.065173717,4.149717391,4946
SRR6486708,SRR6486708,SRP130314,SRR6486708_1.fastq.gz,38970,38970,35089,4947,4947,SRR6486708,Passeriformes,Thraupidae,Geospiza,Fortis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,43,16.27800655,9.555364973,4947
SRR6486709,SRR6486709,SRP130314,SRR6486709_1.fastq.gz,50661,50661,44443,4998,4998,SRR6486709,Passeriformes,Thraupidae,Geospiza,Fortis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,25,5.987315048,3.643376771,4998
SRR6486710,SRR6486710,SRP130314,SRR6486710_1.fastq.gz,50583,50583,45207,4979,4979,SRR6486710,Passeriformes,Thraupidae,Geospiza,Fortis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,34,12.18306384,5.931986285,4979
SRR6486711,SRR6486711,SRP130314,SRR6486711_1.fastq.gz,50794,50794,40572,4964,4964,SRR6486711,Passeriformes,Thraupidae,Geospiza,Fortis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,22,2.468022329,1.600411513,4964
SRR6486712,SRR6486712,SRP130314,SRR6486712_1.fastq.gz,29344,29344,26434,4940,4940,SRR6486712,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,39,11.37416859,5.811642909,4940
SRR6486713,SRR6486713,SRP130314,SRR6486713_1.fastq.gz,23389,23389,20664,4938,4938,SRR6486713,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,33,11.66667272,7.335481286,4938
SRR6486714,SRR6486714,SRP130314,SRR6486714_1.fastq.gz,27832,27832,23010,4958,4958,SRR6486714,Passeriformes,Thraupidae,Geospiza,Difficilis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,34,11.31664485,5.511457988,4958
SRR6486715,SRR6486715,SRP130314,SRR6486715_1.fastq.gz,40598,40598,36317,4948,4948,SRR6486715,Passeriformes,Thraupidae,Geospiza,Conirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,47,16.68098285,6.209600585,4948
SRR6486716,SRR6486716,SRP130314,SRR6486716_1.fastq.gz,40407,40407,36508,4965,4965,SRR6486716,Passeriformes,Thraupidae,Certhidea,Olivacea,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,18,4.183517696,3.372818432,4965
SRR6486717,SRR6486717,SRP130314,SRR6486717_1.fastq.gz,35131,35131,31596,4969,4969,SRR6486717,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,41,13.87327014,7.67891534,4969
SRR6486718,SRR6486718,SRP130314,SRR6486718_1.fastq.gz,38518,38518,34753,4957,4957,SRR6486718,Passeriformes,Thraupidae,Camarhynchus,Parvulus,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,39,17.4535558,11.74293697,4957
SRR6486719,SRR6486719,SRP130314,SRR6486719_1.fastq.gz,37546,37546,34037,4980,4980,SRR6486719,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,30,12.311819,7.841468304,4980
SRR6486720,SRR6486720,SRP130314,SRR6486720_1.fastq.gz,26566,26566,23182,4994,4994,SRR6486720,Passeriformes,Thraupidae,Camarhynchus,Parvulus,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,30,8.491110662,5.17593505,4994
SRR6486721,SRR6486721,SRP130314,SRR6486721_1.fastq.gz,37109,37109,34022,4976,4976,SRR6486721,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,21,6.415788469,4.182953678,4976
SRR6486722,SRR6486722,SRP130314,SRR6486722_1.fastq.gz,68583,68583,61693,4968,4968,SRR6486722,Passeriformes,Thraupidae,Geospiza,Fortis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,42,16.54722057,7.718000708,4968
SRR6486723,SRR6486723,SRP130314,SRR6486723_1.fastq.gz,34758,34758,31414,4963,4963,SRR6486723,Passeriformes,Thraupidae,Camarhynchus,Parvulus,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,29,9.142770386,4.941865385,4963
SRR6486724,SRR6486724,SRP130314,SRR6486724_1.fastq.gz,39407,39407,35515,4912,4912,SRR6486724,Passeriformes,Thraupidae,Geospiza,Fuliginosa,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,45,14.38905003,7.270362232,4912
SRR6486725,SRR6486725,SRP130314,SRR6486725_1.fastq.gz,32920,32920,28653,4952,4952,SRR6486725,Passeriformes,Thraupidae,Geospiza,Conirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,26,6.874741766,3.663147567,4952
SRR6486726,SRR6486726,SRP130314,SRR6486726_1.fastq.gz,39586,39586,34304,4911,4911,SRR6486726,Passeriformes,Thraupidae,Geospiza,Conirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,83,40.19201561,24.77589443,4911
SRR6486727,SRR6486727,SRP130314,SRR6486727_1.fastq.gz,47482,47482,41633,4973,4973,SRR6486727,Passeriformes,Thraupidae,Geospiza,Scandens,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,24,7.476516465,4.63562998,4973
SRR6486728,SRR6486728,SRP130314,SRR6486728_1.fastq.gz,35166,35166,31876,4962,4962,SRR6486728,Passeriformes,Thraupidae,Platyspiza,Crassirostris,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,19,4.43016211,2.610372856,4962
SRR6486729,SRR6486729,SRP130314,SRR6486729_1.fastq.gz,41379,41379,37696,4964,4964,SRR6486729,Passeriformes,Thraupidae,Geospiza,Fortis,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,20,4.585378784,2.952773448,4964
SRR6486730,SRR6486730,SRP130314,SRR6486730_1.fastq.gz,30842,30842,27387,4942,4942,SRR6486730,Passeriformes,Thraupidae,Camarhynchus,Parvulus,Feces,"-0.6,-90.5",10.1186/s40168-018-0555-8,Ecuador,CoMiDa,26,6.769191036,4.218512331,4942
